{gene_id}	{index}
23399	0
255919	1
593	2
594	3
116150	4
79947	5
2131	6
2132	7
3419	8
3420	9
348180	10
81605	11
3589	12
3590	13
10007	14
132789	15
8733	16
94005	17
10797	18
441024	19
23590	20
57107	21
283459	22
55278	23
22856	24
337876	25
56339	26
57721	27
90353	28
10585	29
29954	30
51604	31
8891	32
8892	33
10054	34
10055	35
55454	36
55790	37
1967	38
8890	39
3421	40
2339	41
2342	42
11019	43
387787	44
10154	45
8482	46
131669	47
144193	48
6389	49
6390	50
1152	51
1158	52
10026	53
23016	54
54512	55
128869	56
210	57
3145	58
8802	59
8803	60
3034	61
51227	62
5277	63
8893	64
4143	65
4144	66
23324	67
4123	68
406	69
9575	70
30819	71
30820	72
2235	73
7389	74
5393	75
8801	76
6890	77
6891	78
1160	79
548596	80
25902	81
4522	82
60559	83
9789	84
2643	85
5805	86
7153	87
7155	88
29929	89
79053	90
79646	91
80025	92
53354	93
1036	94
84890	95
23474	96
58472	97
731	98
733	99
9091	100
5283	101
5279	102
3039	103
3040	104
54965	105
93183	106
435	107
445	108
6888	109
7086	110
8372	111
8692	112
732	113
349565	114
64802	115
2584	116
2592	117
10747	118
5648	119
11041	120
9215	121
120071	122
5372	123
5373	124
58477	125
6734	126
248	127
251	128
54480	129
9060	130
9061	131
10243	132
4337	133
2762	134
7264	135
56915	136
11339	137
54069	138
113878	139
1840	140
314	141
8639	142
27304	143
4338	144
2694	145
6948	146
11340	147
1676	148
1677	149
1371	150
26227	151
29968	152
712	153
713	154
56548	155
9469	156
5095	157
5096	158
5009	159
5623	160
64096	161
5281	162
54872	163
3422	164
91734	165
225	166
5825	167
51601	168
22934	169
8534	170
9435	171
4166	172
2653	173
2731	174
79586	175
22943	176
27123	177
2547	178
7520	179
5226	180
54344	181
8818	182
1137	183
1141	184
2982	185
2983	186
714	187
2203	188
8789	189
10841	190
275	191
10056	192
2193	193
2495	194
2512	195
2152	196
2155	197
5984	198
5985	199
8509	200
9348	201
64579	202
3340	203
10090	204
113189	205
3242	206
5053	207
29781	208
54892	209
2582	210
23308	211
29851	212
7247	213
7257	214
1638	215
7306	216
2159	217
5824	218
8504	219
8813	220
154807	221
79001	222
81849	223
8869	224
29906	225
7035	226
1983	227
8894	228
23438	229
55157	230
2977	231
5498	232
250	233
23478	234
100134934	235
80169	236
1636	237
59272	238
6853	239
8224	240
197370	241
23137	242
1933	243
1936	244
765	245
771	246
763	247
761	248
377677	249
23632	250
11238	251
23443	252
7355	253
2184	254
3081	255
79677	256
5693	257
5694	258
973	259
974	260
2978	261
5957	262
768	263
759	264
1717	265
7108	266
3981	267
79840	268
1741	269
1742	270
51659	271
84296	272
7390	273
54780	274
23768	275
23769	276
29920	277
5831	278
2746	279
2747	280
2108	281
2109	282
8564	283
8942	284
6635	285
6636	286
64785	287
9837	288
5890	289
5892	290
3030	291
3032	292
23310	293
27173	294
29986	295
1719	296
200895	297
6120	298
6602	299
6603	300
6799	301
6817	302
762	303
64834	304
83401	305
23389	306
9969	307
90161	308
9394	309
266722	310
4297	311
9757	312
6647	313
9973	314
11128	315
25885	316
54938	317
57038	318
2898	319
2901	320
51067	321
22906	322
66008	323
8029	324
196513	325
80153	326
5962	327
7430	328
6599	329
6601	330
23708	331
2935	332
23498	333
10606	334
158	335
23171	336
2819	337
1503	338
56474	339
432	340
433	341
5695	342
51466	343
7408	344
9653	345
51028	346
84313	347
1407	348
1408	349
64087	350
4801	351
4802	352
150737	353
80776	354
7299	355
84172	356
90701	357
1487	358
1488	359
27430	360
1159	361
23467	362
4885	363
1411	364
1414	365
55729	366
9869	367
51082	368
9533	369
4478	370
27235	371
51805	372
23383	373
25836	374
118460	375
3939	376
3945	377
401494	378
9200	379
201562	380
3000	381
2954	382
9953	383
9955	384
22	385
23456	386
11194	387
10058	388
7515	389
79661	390
79751	391
83733	392
51495	393
60481	394
54898	395
28956	396
8649	397
8828	398
8829	399
491	400
493	401
1491	402
875	403
30815	404
79991	405
11267	406
4594	407
84693	408
50	409
2244	410
2266	411
5163	412
5164	413
27090	414
256435	415
5700	416
5705	417
4153	418
6633	419
10858	420
51302	421
525	422
526	423
10623	424
84265	425
4507	426
84245	427
160428	428
2222	429
6713	430
3108	431
3111	432
5190	433
55670	434
10667	435
23395	436
5189	437
9962	438
9963	439
2145	440
2146	441
3980	442
8243	443
9126	444
1718	445
64137	446
9619	447
